section,actors,question_type,questions,example1,example2,ressource
Detail,Business,text,Project name,,,
Goal,Business,text,What is the main goal of this AI ?,Detect anomalies,Recommand a movie to users.,
Goal,Business,text,What this AI will improve ? Who will benefit this ?,It will improve ,It will improve users experience on a website.,
Goal,Business & tech,who,Who is participating during the AI creation ?,"Elliot Alderson, risks.","Angela Moss, marketing.",
Goal,Business,text,Why do you need this AI ?,"To comply with the regulations and detect fraud, ",To keep user on the platform.,
Goal,Business & tech,text,"Can you reach the same goal without AI ? If yes, why AI is better for this problem ?","Yes with humans expert, but it could be less accurate and much longer.","Yes, with a simple decision tree logic deifne by human, but AI will be more accurate and so improve user experience.",
Decision,Business,text,Which decisions will be taken with the output of this AI ?,Cancel the transfer and inform the bank advisor.,No business decisions.,
Decision,Business,text,Who will be affected by this AI ?,Bank customers.,Platform users.,
Decision,Business,text_list,How users will respond to this AI : Define questions that users may asked at the end about the AI prediction.,"Why my transfer has been canceled ?
How did the AI find this prediction ?",Why this movie is recommanded for me ?,
Model,Tech,text,What is the type of AI ?,"Binary classifier, regression ",Unsupervised learning,
Model,Business,yes_text,Do you need this AI to be train regularly ? How often ?,"Daily, weekly, monthly, yearly.",,
Metrics,Business & tech,text,Which evaluation function will you use ? If binary classifier wieght on positive or negative ?,,,
Metrics,Business & tech,text,"Using this evaluation method, do you think with time, it will affect prediction and be biased ?",Tay,,
Metrics,Business,text,Define success metrics : how will you say your AI is succeeding in what it was build for ?,,,
Metrics,Business,text,Define negative metrics : how will you say your AI is failing in what it was build for ?,,,
Data,Business & tech,data,What are the data that you’ll need to build this AI ? (precise source type if possible and if you have it or you need to collect it),,,
Data,Business & tech,text,Do you know if your data is reliable ? If no how will you say it can be reliable (see data quality section),,,
Data,Business & tech,text,What feature extract from the data are important to be used for the prediction ?,,,
